xxxx	xxxx	Part	Status	PDF	Comment	#N/A						SE	SE_URL
89014		89014	Found	C:\tools\rohs-automation\output_files\delock\89014_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2023/5/10/12/25/24/184190/deloc_/auto/89014_eu_conform-6c.pdf	6.c					80371	http://download.siliconexpert.com/pdfs2/2024/1/13/17/0/8/687287/deloc_/auto/80371_eu_conform.pdf
41423		41423	Found	C:\tools\rohs-automation\output_files\delock\41423_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/15/9/48/842842/deloc_/auto/41423_eu_conform.pdf	No					80364	http://download.siliconexpert.com/pdfs2/2024/1/13/16/59/51/125728/deloc_/auto/80364_eu_conform.pdf
85506		85506	Found	C:\tools\rohs-automation\output_files\delock\85506_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/27/17/801149/deloc_/auto/85506_eu_conform.pdf	No					80387	http://download.siliconexpert.com/pdfs2/2024/1/13/17/0/19/825519/deloc_/auto/80387_eu_conform.pdf
85509		85509	Found	C:\tools\rohs-automation\output_files\delock\85509_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/27/24/717627/deloc_/auto/85509_eu_conform.pdf	No					80418	http://download.siliconexpert.com/pdfs2/2024/3/29/12/16/20/171271/deloc_/auto/80418_eu_conform.pdf
85511		85511	Found	C:\tools\rohs-automation\output_files\delock\85511_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2022/4/18/8/35/15/346675/deloc_/auto/85511_eu_conform.pdf	No					80476	http://download.siliconexpert.com/pdfs2/2024/3/29/10/1/39/767802/deloc_/auto/80476_eu_conforn.pdf
89911		89911	Found	C:\tools\rohs-automation\output_files\delock\89911_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2022/1/4/7/17/47/55331/deloc_/auto/89911_eu_conform-6c.pdf	6.c					80493	http://download.siliconexpert.com/pdfs2/2024/2/28/15/27/7/74753/deloc_/auto/80493_eu_conform.pdf
89899		89899	Found	C:\tools\rohs-automation\output_files\delock\89899_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2022/4/19/22/59/43/76393/deloc_/auto/89899_eu_conform-6c.pdf	6.c					80604	http://download.siliconexpert.com/pdfs2/2024/8/18/17/46/15/270358/deloc_/auto/80604_eu_conform.pdf
62988		62988	Found	C:\tools\rohs-automation\output_files\delock\62988_EU_conform-7c-I.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/8/12/54/228353/deloc_/auto/62988_eu_conform-7c-i.pdf	7.c-I					80620	http://download.siliconexpert.com/pdfs2/2024/8/18/21/8/23/754136/deloc_/auto/80620_eu_conform.pdf
89640		89640	Found	C:\tools\rohs-automation\output_files\delock\89640_EU_conform.pdf		http://download.siliconexpert.com/pdfs2/2023/5/9/15/51/20/240875/deloc_/auto/89640_eu_conform.pdf	No					80625	http://download.siliconexpert.com/pdfs2/2024/12/24/14/44/12/6863635810/deloc_/manual/80625_eu_conform.pdf
89970		89970	Found	C:\tools\rohs-automation\output_files\delock\89970_EU_conform-6c.pdf		http://download.siliconexpert.com/pdfs2/2023/5/10/15/11/48/648348/deloc_/auto/89970_eu_conform-6c.pdf	6.c					83515	http://download.siliconexpert.com/pdfs2/2022/1/4/7/24/52/88695/deloc_/auto/83515_eu_conform.pdf
